182,002213,特,尔,佳,汽车配件 深圳 311.06
183,002081,金,螳,螂,装修装饰 江苏 20.94
184,000830,鲁西化工,农药化肥,山东,14.04
185,600085,同仁堂,中成药,北京,41.76
186,002507,涪陵榨菜,食品,重庆,33.82
187,603889,新澳股份,纺织,浙江,27.81
188,000063,中兴通讯,通信设备,深圳,30.73
189,600585,海螺水泥,水泥,安徽,11.67
190,002430,杭氧股份,化工机械,浙江,54.81
191,002118,紫鑫药业,中成药,吉林,48.29
192,600887,伊利股份,乳制品,内蒙,27.7
193,002475,立讯精密,元器件,深圳,55.59
194,000913,钱江摩托,摩托车,浙江,141.12
195,000425,徐工机械,工程机械,江苏,25.2
196,601088,中国神华,煤炭开采,北京,9.65
197,000004,国农科技,生物制药,深圳,0.0
198,002798,帝王洁具,家居用品,四川,110.31
199,002281,光迅科技,通信设备,湖北,55.93
200,000938,紫光股份,软件服务,北京,48.25
201,000537,广宇发展,区域地产,天津,145.73
202,002534,杭锅股份,专用机械,浙江,19.11
203,002583,海能达,通信设备,深圳,517.89
204,600970,中材国际,建筑施工,江苏,17.62
205,002001,新,和,成,化学制药 浙江 32.54
206,000977,浪潮信息,电脑设备,山东,75.71
207,002222,福晶科技,元器件,福建,64.22
208,603816,顾家家居,家居用品,浙江,28.4
209,002194,武汉凡谷,通信设备,湖北,0.0
210,002245,澳洋顺昌,仓储物流,江苏,28.04
211,000636,风华高科,元器件,广东,41.94
212,002626,金达威,食品,福建,37.38
213,600216,浙江医药,化学制药,浙江,72.17
214,600050,中国联通,电信运营,上海,134.47
215,601012,隆基股份,半导体,陕西,24.02
216,002230,科大讯飞,软件服务,安徽,390.62
217,600584,长电科技,半导体,江苏,137.25
218,002383,合众思壮,通信设备,北京,143.26
219,002049,紫光国芯,元器件,河北,98.27
220,002405,四维图新,软件服务,北京,182.72
221,000629,*ST钒钛,普钢,四川,0.0
