,code,begin,end,status,begin_price,end_price,days,p_change
180,600996,2017-12-15,2017-12-17,up,9.71,9.79,2,0.824
34,601313,2016-01-04,2016-02-29,down,15.214,9.699,56,-36.25
33,601313,2016-02-29,2016-06-17,up,9.699,16.23,109,67.337
32,601313,2016-06-17,2017-06-02,down,16.23,7.96,350,-50.955
35,601313,2017-06-02,2017-12-11,up,7.96,54.48,192,584.422
36,601313,2017-12-11,2017-12-14,down,54.48,47.5,3,-12.812
37,601313,2017-12-14,2017-12-15,up,47.5,51.39,1,8.189
38,601313,2017-12-15,2017-12-17,down,51.39,49.31,2,-4.047
181,601789,2016-01-04,2016-01-28,down,6.083,3.583,24,-41.098
182,601789,2016-01-28,2016-11-03,up,3.583,8.339,280,132.738
183,601789,2016-11-03,2017-11-20,down,8.339,4.41,382,-47.116
184,601789,2017-11-20,2017-11-30,up,4.41,4.8,10,8.844
185,601789,2017-11-30,2017-12-06,down,4.8,4.48,6,-6.667
186,601789,2017-12-06,2017-12-12,up,4.48,4.77,6,6.473
187,601789,2017-12-12,2017-12-15,down,4.77,4.58,3,-3.983
188,601789,2017-12-15,2017-12-17,up,4.58,4.65,2,1.528
136,601928,2016-01-04,2017-12-05,down,15.61,8.16,701,-47.726
137,601928,2017-12-05,2017-12-11,up,8.16,8.57,6,5.025
138,601928,2017-12-11,2017-12-15,down,8.57,8.26,4,-3.617
139,601928,2017-12-15,2017-12-17,up,8.26,8.31,2,0.605
368,603138,2017-03-06,2017-03-31,up,11.047,64.41,25,483.054
369,603138,2017-03-31,2017-08-14,down,64.41,30.21,136,-53.097
370,603138,2017-08-14,2017-10-10,up,30.21,47.38,57,56.835
371,603138,2017-10-10,2017-12-06,down,47.38,30.36,57,-35.922
372,603138,2017-12-06,2017-12-14,up,30.36,46.87,8,54.381
373,603138,2017-12-14,2017-12-15,down,46.87,43.7,1,-6.763
374,603138,2017-12-15,2017-12-17,up,43.7,44.72,2,2.334
142,603636,2016-01-04,2016-03-01,down,24.231,12.062,57,-50.221
141,603636,2016-03-01,2017-04-07,up,12.062,26.61,402,120.61
140,603636,2017-04-07,2017-07-27,down,26.61,9.8,111,-63.172
143,603636,2017-07-27,2017-09-29,up,9.8,13.82,64,41.02
144,603636,2017-09-29,2017-11-27,down,13.82,10.35,59,-25.109
145,603636,2017-11-27,2017-12-11,up,10.35,11.49,14,11.014
146,603636,2017-12-11,2017-12-14,down,11.49,10.63,3,-7.485
147,603636,2017-12-14,2017-12-15,up,10.63,10.88,1,2.352
148,603636,2017-12-15,2017-12-17,down,10.88,10.79,2,-0.827
130,603869,2016-02-05,2016-02-15,down,28.088,25.283,10,-9.986
129,603869,2016-02-15,2016-02-17,up,25.283,34.194,2,35.245
128,603869,2016-02-17,2016-03-08,down,34.194,23.767,20,-30.494
127,603869,2016-03-08,2016-10-19,up,23.767,37.092,225,56.065
126,603869,2016-10-19,2017-12-05,down,37.092,20.61,412,-44.435
131,603869,2017-12-05,2017-12-11,up,20.61,22.63,6,9.801
132,603869,2017-12-11,2017-12-12,down,22.63,21.47,1,-5.126
133,603869,2017-12-12,2017-12-14,up,21.47,22.18,2,3.307
134,603869,2017-12-14,2017-12-15,down,22.18,21.8,1,-1.713
135,603869,2017-12-15,2017-12-17,up,21.8,21.99,2,0.872
19,603881,2017-02-08,2017-03-17,up,9.353,79.936,37,754.656
20,603881,2017-03-17,2017-04-24,down,79.936,38.969,38,-51.25
21,603881,2017-04-24,2017-05-03,up,38.969,64.798,9,66.281
22,603881,2017-05-03,2017-12-05,down,64.798,40.5,216,-37.498
23,603881,2017-12-05,2017-12-15,up,40.5,54.5,10,34.568
24,603881,2017-12-15,2017-12-17,down,54.5,52.57,2,-3.541
