,code,date,p_change
349,002881,2017-09-25,9.99
350,002881,2017-09-22,10.0
351,002881,2017-09-07,10.0
352,002881,2017-09-01,10.0
353,002881,2017-08-31,9.99
354,002881,2017-07-06,9.99
355,002881,2017-07-05,10.01
356,002881,2017-07-04,10.02
357,002881,2017-07-03,10.02
358,002769,2017-07-03,10.0
359,000681,2017-12-01,9.98
360,000681,2017-08-30,10.01
361,002194,2017-12-01,10.02
362,002194,2017-11-15,9.97
363,002194,2017-09-29,9.97
364,002194,2017-09-28,10.01
365,002194,2017-09-27,10.04
366,002194,2017-09-25,10.01
367,002194,2017-09-22,9.98
368,002194,2017-09-21,9.96
369,002194,2017-08-17,10.04
370,000038,2017-11-20,10.02
371,000038,2017-11-16,10.0
372,000038,2017-11-13,10.01
373,002409,2017-11-10,9.99
374,002409,2017-11-09,9.99
375,002409,2017-11-08,9.99
376,002409,2017-11-07,9.99
377,002409,2017-11-06,10.02
378,002409,2017-11-03,9.98
379,002409,2017-11-02,9.99
380,002549,2017-08-03,9.97
381,002549,2017-08-01,10.01
382,002519,2017-08-17,9.95
383,002157,2017-08-08,10.1
384,603637,2017-07-28,9.99
385,603323,2017-11-13,10.04
386,600038,2017-08-04,10.01
387,603239,2017-07-06,9.99
388,600050,2017-08-22,9.98
389,600050,2017-08-21,10.04
390,000018,2017-08-15,9.97
391,000018,2017-08-14,10.0
392,600039,2017-07-13,10.02
393,000058,2017-09-29,10.05
394,600193,2017-08-29,10.0
395,600193,2017-08-28,10.07
396,600193,2017-08-25,10.04
397,000671,2017-11-29,10.02
398,000671,2017-09-14,9.93
399,000671,2017-09-07,9.98
400,002400,2017-08-15,9.95
401,000687,2017-10-17,10.02
402,000045,2017-11-07,9.99
403,000045,2017-08-30,10.0
404,002853,2017-11-24,10.0
405,002853,2017-09-06,10.0
406,002853,2017-09-05,10.0
407,002853,2017-08-31,10.0
408,002853,2017-08-29,10.0
409,002853,2017-08-28,10.0
410,002853,2017-08-08,9.99
411,002853,2017-08-07,10.0
412,002853,2017-07-07,10.0
413,000856,2017-09-20,9.99
414,000617,2017-07-24,10.02
415,002185,2017-09-20,10.05
416,000838,2017-11-21,10.03
417,000838,2017-11-16,10.07
418,000838,2017-09-29,10.02
419,000010,2017-10-19,10.08
420,000010,2017-10-18,10.0
421,603918,2017-10-16,9.98
422,603918,2017-08-03,10.01
423,002650,2017-10-12,9.93
424,603603,2017-10-13,10.01
425,603603,2017-08-18,10.0
426,603603,2017-07-24,10.01
427,603886,2017-10-27,10.01
428,603886,2017-07-19,10.01
429,601878,2017-08-28,9.99
430,601878,2017-08-25,10.01
431,601878,2017-07-05,10.0
432,600897,2017-08-29,10.0
433,002133,2017-09-19,9.96
434,002166,2017-08-07,9.96
435,603200,2017-10-13,10.0
436,600390,2017-09-18,9.99
437,000801,2017-07-20,10.04
438,000935,2017-11-29,9.99
439,000935,2017-10-30,9.98
440,000935,2017-09-13,10.01
441,000935,2017-09-12,10.02
442,002113,2017-08-14,9.98
443,002113,2017-07-24,10.0
444,600136,2017-10-11,10.03
445,600136,2017-09-22,10.0
446,603817,2017-10-13,9.99
447,002680,2017-09-08,10.03
448,002233,2017-08-10,9.99
449,002817,2017-09-15,10.0
450,002817,2017-07-19,10.01
451,002024,2017-07-31,9.98
452,000596,2017-09-18,9.99
453,600657,2017-09-19,9.94
454,600774,2017-10-09,10.01
455,600653,2017-08-24,10.12
456,601919,2017-07-28,10.08
457,601919,2017-07-26,10.09
458,000615,2017-11-27,9.99
459,000615,2017-08-14,10.0
460,000615,2017-08-02,9.97
461,000615,2017-08-01,9.96
462,600008,2017-08-14,10.06
463,603299,2017-11-22,9.96
464,603299,2017-11-15,10.03
465,600020,2017-07-24,10.0
466,002619,2017-11-21,9.99
467,002619,2017-11-20,9.99
468,002619,2017-11-17,10.05
469,600495,2017-10-26,10.06
470,600238,2017-09-14,10.0
471,601012,2017-11-10,9.99
472,601012,2017-09-11,10.01
473,601200,2017-10-13,9.99
474,002314,2017-11-01,10.05
475,002298,2017-08-21,9.96
476,600372,2017-08-04,9.99
477,002125,2017-08-21,9.98
478,002125,2017-08-08,9.98
479,600679,2017-07-07,10.01
480,002588,2017-07-27,10.02
481,002045,2017-09-05,10.01
482,600131,2017-07-13,10.01
483,000036,2017-07-21,10.04
484,600735,2017-07-20,9.99
485,600072,2017-08-17,10.03
486,000990,2017-08-17,10.01
487,002110,2017-11-29,9.98
488,002110,2017-11-27,10.03
489,002110,2017-07-10,10.01
490,600233,2017-09-19,10.01
491,600058,2017-07-19,9.99
492,002807,2017-08-01,10.03
493,002116,2017-08-22,10.0
494,600962,2017-09-15,9.99
495,600736,2017-09-19,10.03
496,000799,2017-09-12,9.98
497,000799,2017-08-07,10.01
498,000799,2017-07-31,10.0
499,000799,2017-07-14,9.99
500,002765,2017-10-09,10.01
501,002765,2017-09-26,10.05
502,000797,2017-09-27,9.97
503,000797,2017-07-19,10.0
504,000797,2017-07-18,10.05
505,002516,2017-11-07,10.07
506,002282,2017-07-18,10.01
507,600537,2017-09-05,10.0
508,002750,2017-11-09,10.04
509,600809,2017-09-18,9.97
510,600202,2017-11-09,9.99
511,002175,2017-08-17,10.04
512,002234,2017-07-18,9.99
513,002234,2017-07-13,9.97
514,002234,2017-07-03,9.97
515,002733,2017-09-06,10.02
516,002246,2017-08-18,10.03
